"location_id"	"parent_location_id"	"higher_geography_id"	"higher_geography"	"continent"	"water_body"	"island_group"	"island"	"country"	"country_code"	"state_province"	"county"	"municipality"	"locality"	"minimum_elevation_in_meters"	"maximum_elevation_in_meters"	"minimum_distance_above_surface_in_meters"	"maximum_distance_above_surface_in_meters"	"minimum_depth_in_meters"	"maximum_depth_in_meters"	"vertical_datum"	"location_according_to"	"location_remarks"	"decimal_latitude"	"decimal_longitude"	"geodetic_datum"	"coordinate_uncertainty_in_meters"	"coordinate_precision"	"point_radius_spatial_fit"	"footprint_wkt"	"footprint_srs"	"footprint_spatial_fit"	"georeferenced_by"	"georeferenced_date"	"georeference_protocol"	"georeference_sources"	"georeference_remarks"	"preferred_spatial_representation"
"loc_150"								"Chile"	"CH"	"Metropolitana de Santiago"													-33.68	-70.4													
"loc_151"								"Chile"	"CH"	"Metropolitana de Santiago"													-34.08	-70.9													
"loc_152"								"Chile"	"CH"	"Metropolitana de Santiago"				2300									-33														
"loc_153"								"Chile"	"CH"	"Ñuble"				525									-36.063	-72.636													
"loc_154"								"Chile"	"CH"	"Maule"				475									-35.987	-72.68													
"loc_155"								"Chile"	"CH"	"O'Higgins"				720									-34.74	-70.77527778													
"loc_156"								"Chile"	"CH"	"Maule"				1215									-35.61	-71.0725													
"loc_157"								"Chile"	"CH"	"Coquimbo"				2730									-31.76	-70.968													
"loc_158"								"Chile"	"CH"	"Coquimbo"				3149									-39.23	-70.01666667													
"loc_159"								"Chile"	"CH"	"Coquimbo"				2197									-30.73	-70.45													
"loc_160"								"Chile"	"CH"	"Coquimbo"				2730									-31.75	-70.5													
"loc_161"								"Chile"	"CH"	"Metropolitana de Santiago"				2599									-33.8	-69.98333333													
"loc_162"								"Chile"	"CH"	"Bio Bio"				1834									-36.9	-71.4													
"loc_163"								"Chile"	"CH"	"Bio Bio"													-36.77	-73.19													
"loc_164"								"Chile"	"CH"	"Maule"													-35.219	-72.282													
"loc_165"								"Chile"	"CH"	"Maule"													-35.703	-71.112													
"loc_166"								"Chile"	"CH"	"Maule"													-35.115	-71.954													
"loc_167"								"Chile"	"CH"	"Maule"				462									-35.83	-72.45													
"loc_168"								"Chile"	"CH"	"Maule"				160									-36.38	-72.83333333													
"loc_169"								"Chile"	"CH"	"Metropolitana de Santiago"				900									-33.45	-70.7													
"loc_170"								"Chile"	"CH"	"Metropolitana de Santiago"				2350									-33.33333333	-70.28333333													
"loc_171"								"Chile"	"CH"	"Valparaiso"				2850									-32.85	-70.01666667													
"loc_172"								"Chile"	"CH"	"Atacama"				710									-28.905	-70.016													
"loc_173"								"Chile"	"CH"	"Coquimbo"				150									-29.633	-71.283													
"loc_174"								"Chile"	"CH"	"Valparaiso"				130									-32.51666667	-71.46666667													
"loc_175"								"Chile"	"CH"	"Metropolitana de Santiago"				2580									-33.61666667	-70.01666667													
"loc_176"								"Chile"	"CH"	"Metropolitana de Santiago"				2500									-33.58333333	-70.53333333													
"loc_177"								"Chile"	"CH"	"Bio Bio"													-36.12722222	-72.80388889													
"loc_178"								"Chile"	"CH"	"Valparaiso"													-33.06666667	-71.65													
"loc_179"								"Chile"	"CH"	"Valparaiso"													-32.63333333	-70.71666667													
"loc_180"								"Chile"	"CH"	"Metropolitana de Santiago"				2382									-33.35833333	-70.30416667													
"loc_181"								"Chile"	"CH"	"Coquimbo"				600									-31.48333333	-71.13333333													
"loc_182"								"Chile"	"CH"	"Metropolitana de Santiago"				3160									-33.31666667	-70.26666667													
"loc_183"								"Chile"	"CH"	"Metropolitana de Santiago"				3360									-33.31838889	-70.28061111													
"loc_184"								"Chile"	"CH"	"Metropolitana de Santiago"				3450									-33.297	-70.22180556													
"loc_185"								"Chile"	"CH"	"Maule"													-35.98333333	-72.68333333													
"loc_186"								"Chile"	"CH"	"O'Higgins"				520									-34.21666667	-70.78333333													
