"eventId"	"parentEventId"	"datasetId"	"locationId"	"protocolId"	"eventType"	"eventName"	"recordedBy"	"recordedById"	"fieldNumber"	"eventDate"	"year"	"month"	"day"	"verbatimEventDate"	"verbatimLocality"	"verbatimElevation"	"verbatimDepth"	"verbatimCoordinates"	"verbatimLatitude"	"verbatimLongitude"	"verbatimCoordinateSystem"	"verbatimSrs"	"habitat"	"protocolDescription"	"sampleSizeValue"	"sampleSizeUnit"	"eventEffort"	"fieldNotes"	"eventCitation"	"eventRemarks"	"higherGeographyId"	"higherGeography"	"continent"	"waterBody"	"islandGroup"	"island"	"country"	"countryCode"	"stateProvince"	"county"	"municipality"	"locality"	"minimumElevationInMeters"	"maximumElevationInMeters"	"minimumDistanceAboveSurfaceInMeters"	"maximumDistanceAboveSurfaceInMeters"	"minimumDepthInMeters"	"maximumDepthInMeters"	"verticalDatum"	"locationAccordingTo"	"locationRemarks"	"decimalLatitude"	"decimalLongitude"	"geodeticDatum"	"coordinateUncertaintyInMeters"	"coordinatePrecision"	"pointRadiusSpatialFit"	"footprintWkt"	"footprintSrs"	"footprintSpatialFit"	"georeferencedBy"	"georeferencedDate"	"georeferenceProtocol"	"georeferenceSources"	"georeferenceRemarks"	"preferredSpatialRepresentation"
"evt_88"					"ORGANISM_INTERACTION"					""					"Antillanca, X Region"	""		"38°- 42° S"	-40.729	-72.188																	"Chile"		"Los Lagos"			"Antillanca, X Region"										-40.729	-72.188													
"evt_89"					"ORGANISM_INTERACTION"					""					"Antillanca, X Region"	""		"38°- 42° S"	-40.729	-72.188																	"Chile"		"Los Lagos"			"Antillanca, X Region"										-40.729	-72.188													
"evt_90"					"ORGANISM_INTERACTION"					""					"Cordillera of Piuchue in Chiloe, X Region"	""		"38°- 42° S"	-42.377	-73.999																	"Chile"		"Los Lagos"			"Cordillera of Piuchue in Chiloe, X Region"										-42.377	-73.999													
"evt_91"					"ORGANISM_INTERACTION"					""					"Antillanca, X Region"	""		"38°- 42° S"	-40.729	-72.188																	"Chile"		"Los Lagos"			"Antillanca, X Region"										-40.729	-72.188													
"evt_92"					"ORGANISM_INTERACTION"					""					"Cordillera of Piuchue in Chiloe, X Region"	""		"38°- 42° S"	-42.377	-73.999																	"Chile"		"Los Lagos"			"Cordillera of Piuchue in Chiloe, X Region"										-42.377	-73.999													
"evt_93"					"ORGANISM_INTERACTION"					""					"Cordillera of Piuchue in Chiloe, X Region"	""		"38°- 42° S"	-42.377	-73.999																	"Chile"		"Los Lagos"			"Cordillera of Piuchue in Chiloe, X Region"										-42.377	-73.999													
"evt_94"					"ORGANISM_INTERACTION"					""					"Cordillera of Piuchue in Chiloe, X Region"	""		"38°- 42° S"	-42.377	-73.999																	"Chile"		"Los Lagos"			"Cordillera of Piuchue in Chiloe, X Region"										-42.377	-73.999													
"evt_95"					"ORGANISM_INTERACTION"					""					"Antillanca, X Region"	""		"38°- 42° S"	-40.729	-72.188																	"Chile"		"Los Lagos"			"Antillanca, X Region"										-40.729	-72.188													
"evt_96"					"ORGANISM_INTERACTION"					""					"Cordillera of Piuchue in Chiloe, X Region"	""		"38°- 42° S"	-42.377	-73.999																	"Chile"		"Los Lagos"			"Cordillera of Piuchue in Chiloe, X Region"										-42.377	-73.999													
"evt_97"					"ORGANISM_INTERACTION"					""					"Cordillera of Piuchue in Chiloe, X Region"	""		"38°- 42° S"	-42.377	-73.999																	"Chile"		"Los Lagos"			"Cordillera of Piuchue in Chiloe, X Region"										-42.377	-73.999													
"evt_98"					"ORGANISM_INTERACTION"					""					"Antillanca, X Region"	""		"38°- 42° S"	-40.729	-72.188																	"Chile"		"Los Lagos"			"Antillanca, X Region"										-40.729	-72.188													
"evt_99"					"ORGANISM_INTERACTION"					""					"Chiloe Island, X Region"	""		"40°- 42° S"	-41.945	-73.576																	"Chile"		"Los Lagos"			"Chiloe Island, X Region"										-41.945	-73.576													
"evt_100"					"ORGANISM_INTERACTION"					""					"Chiloe Island, X Region"	""		"40°- 42° S"	-41.945	-73.576																	"Chile"		"Los Lagos"			"Chiloe Island, X Region"										-41.945	-73.576													
"evt_101"					"ORGANISM_INTERACTION"					""					"Chiloe Island, X Region"	""		"40°- 42° S"	-41.945	-73.576																	"Chile"		"Los Lagos"			"Chiloe Island, X Region"										-41.945	-73.576													
"evt_102"					"ORGANISM_INTERACTION"					""					"Chiloe Island, X Region"	""		"40°- 42° S"	-41.945	-73.576																	"Chile"		"Los Lagos"			"Chiloe Island, X Region"										-41.945	-73.576													
